,.trajectory,.hardness,launch_angle,launch_speed,.coordinates.coordX,.location,total_distance,trajectory,.launchSpeed,.totalDistance,.coordinates.coordY,.launchAngle,
199ff6af-93c2-4bc0-b6f7-cc1b97669345,,,,,,,,,,,,,
ffdcd3f6-7cfa-4d8b-bdba-707e34f3db0c,,,,,,,,,,,,,
e4ed615c-66a4-48d3-a1f8-d285324cecba,,,,,,,,,,,,,
307396c0-c924-483f-af7b-b586acdea9e3,,,,,,,,,,,,,
1a8e9d40-d7b1-4046-abb2-e4a14c21dd6a,,,,,,,,,,,,,
3dd5dcbb-12ae-43d1-900f-0e194d8da9b6,,,,,,,,,,,,,
68877139-2e00-4b94-87b4-dcdc01f8272c,,,,,,,,,,,,,
e09bcda8-fcf5-469b-8b4c-9ddd3a36d1fa,,,,,,,,,,,,,
a84cf1bf-4466-4da2-bac0-6b56b10f9be2,,,,,,,,,,,,,
d9c1959c-4bdf-4615-bc42-e8f9aef3c35d,,,,,,,,,,,,,
3b0507df-183d-451a-a80a-c61cb852ff36,,,,,,,,,,,,,
4be43829-c88f-403b-a853-29c721b026d7,,,,,,,,,,,,,
848814b1-c7a1-48bb-8dec-4b6a02efac05,,,,,,,,,,,,,
e8f7b1b0-7599-4bd7-9c8c-7502e9edec07,,,,,,,,,,,,,
aa448c77-fd4a-4164-b92b-d22b286e6a6f,,,,,,,,,,,,,
bde33519-2dfb-4cab-9f2a-e8985dff38c0,,,,,,,,,,,,,
ae713f9a-9dce-475e-be02-26bca3af047d,,,,,,,,,,,,,
3fd0178e-bbe7-42d6-87dc-13b500adc35c,,,,,,,,,,,,,
fd7818a6-88b4-4ac9-a68b-5c5cd47552e9,,,,,,,,,,,,,
dfd4f589-6d0d-4015-8fc9-185485ba3cb1,,,,,,,,,,,,,
740bc791-2351-4229-bf04-7690249438ac,,,,,,,,,,,,,
28b5f5be-51cd-40e5-a806-c28f7f0a9e96,,,,,,,,,,,,,
88acae97-0f6b-472a-86a3-6be59df749ea,,,,,,,,,,,,,
f2e3f171-af80-44d6-87f5-1b274d754aa0,,,,,,,,,,,,,
c81fca92-8740-4785-8b36-4fbe82fd56e9,,,,,,,,,,,,,
9b9d306f-9d70-48b4-a2d0-be34bd746230,,,,,,,,,,,,,
b5aac6e9-0a21-4f80-806d-8396377872f4,,,,,,,,,,,,,
c5fb3794-2658-467e-8666-1bac5865b22e,,,,,,,,,,,,,
658fb671-9765-4525-9e8e-67e7947ee804,,,,,,,,,,,,,
f9c7443b-f80c-4d69-94aa-c7bca6ef1994,,,,,,,,,,,,,
df05a91d-df3c-488e-90b5-e34f637bbc8e,,,,,,,,,,,,,
598c63e5-58f4-41b2-9341-600c509798b0,,,,,,,,,,,,,
9a99d644-23af-4cd4-b4d1-75666195c0e7,,,,,,,,,,,,,
b990fc41-b02a-4f89-8f9d-4ba7a6ce173a,,,,,,,,,,,,,
c6d38ce9-7313-477f-9a8a-5d1938c397c6,,,,,,,,,,,,,
b40cea47-a92a-466d-90fa-9f03ef1a1136,,,,,,,,,,,,,
d11f62dc-3936-438a-9533-5aaf31513171,,,,,,,,,,,,,
1d11361a-a63c-431c-abe1-87b540caed70,,,,,,,,,,,,,
9cdd591a-da5e-49d4-8fa0-761402054c1e,,,,,,,,,,,,,
8994aa38-6f3d-4da9-8c32-0e7b1f73ad81,,,,,,,,,,,,,
c5bf5416-bd8b-4b96-986f-5f1ca1cac446,,,,,,,,,,,,,
44d69e99-21b2-4ba4-91f2-c213636ae521,,,,,,,,,,,,,
207a87aa-db86-4486-8b16-afe0c5b38c90,,,,,,,,,,,,,
af6761c2-51ea-4ca8-872a-45f2be721142,,,,,,,,,,,,,
92209877-4da4-46f7-a225-c700205da7e0,,,,,,,,,,,,,
d048e71d-e00e-4f4a-bf56-7374615f6487,,,,,,,,,,,,,
01c4d4f1-01bc-4613-83d6-86e610928c82,,,,,,,,,,,,,
45f63179-0a22-4b9b-b322-49913d87cdb1,,,,,,,,,,,,,
ce0ae0db-877a-402e-997a-71a0890b90eb,,,,,,,,,,,,,
b9779847-eeab-40a8-af58-6c3c0e976fda,,,,,,,,,,,,,
1cb80140-f532-4669-b5e7-7dc34a25acf7,,,,,,,,,,,,,
b89ac75d-ff00-4d4f-ab73-b6341f53d5ab,,,,,,,,,,,,,
cf99283c-7fdb-4ccb-9fde-a3cc7245a25f,,,,,,,,,,,,,
048298e9-c335-4e92-8c14-d93318e1534f,,,,,,,,,,,,,
a1624adf-dec2-4804-a1a5-3973ad5f7d89,,,,,,,,,,,,,
d76d689a-cb22-401c-aae5-155af9b41b60,,,,,,,,,,,,,
35be0379-ac1f-47b2-93e2-60375dd34bbc,,,,,,,,,,,,,
f563ce25-d5df-43b9-974a-73f3ac5bb162,,,,,,,,,,,,,
33732c9e-c7a0-4914-9c59-f43f9f3dfb44,,,,,,,,,,,,,
9a11fae1-9ed7-4f99-9a53-5ba6ee0bb25d,,,,,,,,,,,,,
fd8abd2f-b827-4eba-b98a-f6b44b29f448,,,,,,,,,,,,,
74fd7326-1030-4331-807e-a7db169f670a,,,,,,,,,,,,,
5c00ca5a-a3cf-4f4f-a226-e86f95b0d8ce,,,,,,,,,,,,,
f597e11c-a08a-45ae-86fd-de68c0c60706,,,,,,,,,,,,,
b68e4585-0228-42b1-8da3-ee45237b414d,,,,,,,,,,,,,
80b50669-adf0-40bc-9664-c89ed6a1c47e,,,,,,,,,,,,,
fd04061b-f19f-4e10-a871-d22f5a6f2492,,,,,,,,,,,,,
7f1cd1d2-c1a6-4b7c-8a63-f9c441965713,,,,,,,,,,,,,
88406635-391b-486b-92a5-cb2fbdc579c4,,,,,,,,,,,,,
d643752f-043e-4fa7-969e-6f19be11e7ee,,,,,,,,,,,,,
7354107c-dd69-4e0d-bf16-e436677786dc,,,,,,,,,,,,,
f5489efe-00dd-4bc3-b3cc-7d707a9fb31f,,,,,,,,,,,,,
ffc604a6-e23c-4f76-b64b-79b1fc33694f,,,,,,,,,,,,,
6fc85acf-c34f-485a-bbc2-8377db125c1b,,,,,,,,,,,,,
38e91daa-44f3-4b4d-b45f-a89c36aad1f6,,,,,,,,,,,,,
5724fca5-3d5b-4425-b3d3-177e622e07a5,,,,,,,,,,,,,
8a30be40-ec9a-4f5f-addc-82ffb369d78e,,,,,,,,,,,,,
6c2ccade-c62a-4dda-a15c-7f764753fb0d,,,,,,,,,,,,,
f185d01f-1359-4cc5-94b1-8fec7541d0f8,,,,,,,,,,,,,
7df57c8c-a012-497a-ba7e-33288157e2b6,,,,,,,,,,,,,
d33b670e-9c5e-4119-b3ae-f6e3a44a54f6,,,,,,,,,,,,,
a5ff01a1-edb4-4940-8e70-15e265651f72,,,,,,,,,,,,,
7299c7c0-5af7-4555-b5fa-8b760fa3e46c,,,,,,,,,,,,,
c6e68b9e-3457-4eaf-8153-ebf9f8be219a,,,,,,,,,,,,,
2f3aa5e2-bcb5-4b17-b22d-c55672df2a0c,,,,,,,,,,,,,
982a29bf-26d5-4848-bdd2-0c87ad067d7a,,,,,,,,,,,,,
d3de64ad-ce3c-4476-ac41-b5daf21a569d,,,,,,,,,,,,,
451e27aa-e491-4dc3-af30-56d7a3f0528c,,,,,,,,,,,,,
